fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
Veronica J,Apr 2018,4,Mysfaktor mitt i Lund,"Ett härligt, gammaldags hotel med charm. Bemötandet av all personal är varm och personlig.Stadens utbud ligger precis runt hörnet. Ett hotel att återvända till.Jag åt på annat håll så nyttjade endast restaurangen vid frukosten. Frukosten var mycket trevlig och varierande,…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 18, 2018","Responded Apr 18, 2018","Hej Veronica,  Tusen tack för de vänliga orden. De värmde..  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: April 2018,"[All, languages]",493
Lívia G,Apr 2018,3,Decadence,"I've been to this hotel with my family on July 2010 and it was a very good experience. On August 2017 i booked it again in an attempt to have a good time once more. Well, apart from the excellent location, good breakfast and helfpul staff, there's nothing else to it that…",,,,Date of stay: August 2017,"[All, languages]",493
gl0begirl,Apr 2018,4,Pampigt hotell med gamla anor,"Grand hotel Lund är ett mycket vackert hotell som andas lyx med sin stora välvda trapp och höga tak. Restaurangen rekommenderas starkt där köttbullarna var ett mycket intressant och gott inslag på menyn. Personalen var mycket trevlig och serviceinriktad, dock lämnade det en del…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 11, 2018","Responded Apr 11, 2018","Kära gäst,  Tusen tack för de vänliga orden.  Hjärtligt välkommen åter  Med vänlig hälsning  Mattias Lindberg",Date of stay: February 2018,"[All, languages]",493
carina_lr_larsson,Apr 2018,3,Vackert o trevligt hotellrum.,"Vänligt bemött i receptionen. Tyvärr höll inte restaurangen den klass vi hade önskat och ett stort minus att baren stängde 22,00 o man fick inte sitta kvar o prata efter det. Frukosten var bra men inget extra. ","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 11, 2018","Responded Apr 11, 2018","Kära Carina,  Tack för vänliga ord och att du tog dig tid att recensera oss.  Gällande restaurangen så gäller tiden 22:00 på söndagar men givetvis ska vi informera innan dess att det finns andra möjliga sittplatser i huset om man önskar sitta kvar och prata. En favorit bland våra gäster idag är t.ex. vår nya fantastiska Piraten-veranda. Tyvärr måste vi har gjort ett misstag här. Det borde ha informerats. Ledsen för det..  Hjärtligt välkommen åter  Med vänlig hälsning Mattias Lindberg",Date of stay: April 2018,"[All, languages]",493
C7017JHevag,Apr 2018,5,Fantastiskt,"Mycket sköna sängar, lugnt och skönt, lite för tjockt  täcke och så saknade vi ett par krokar till att hänga morgonrockarna på. Vackert rum, FANTASTISK frukost och på det er urmysiga bar och en väldigt god påskmiddag som dock hade svalnat rejält på väg från köket.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Apr 5, 2018","Responded Apr 5, 2018","Kära gäst,  Tusen tack för vänliga ord.  Gällande maten tar jag givetvis med mig informationen vidare.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: March 2018,"[All, languages]",493
annaJ6865WV,Mar 2018,4,Stilfullt vänligt och välkomnande,"Grand Hotel är ett anrikt, elegant och väldigt hemtrevligt hotell mitt i Lund. Mitt enkelrum kändes ombonat men jag hade otur med utsikten in mot ventilationstrummor. Rummet var väldigt fint i övrigt. Det enda jag saknade var kaffe på rummet - fick tassa ut i korridoren i…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 21, 2018","Responded Mar 21, 2018","Kära gäst,  Tack för vänliga ord.  Av naturliga skäl ligger som sagt en del rum givetvis mot baksidan men vi håller just nu på med att lägga an en ny plan för hela vårt ventilationssystem. Det kommer göra att både vy och utsikt förbättras från alla våra rum på baksidan. Vi sitter faktiskt också och tittar på om vi inte ska ha möjlighet till kaffe och the på alla våra rum.  Tack igen för att du tog dig att recensera oss.  Hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: March 2018,"[All, languages]",493
530fredrikw,Mar 2018,4,Great hotel with a lot of tradition ,"I have stayed at Grand many times. A hotel that has got a lot of tradition. Students in generations have come here for parties, banquets or early morning breakfasts. History is literally in the walls. The rokms are all unque and furnished in old style. Beds are comfortable and…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 21, 2018","Responded Mar 21, 2018","Dear guest,  Many thanks for the kind words.  It made our day.  Sincerely Mattias Lindberg ",Date of stay: December 2017,"[All, languages]",493
TerenceJK,Mar 2018,3,Trading on the Faded Glories of a previous era.,"I am located in the UK but quite well-travelled, having worked in Mexico for two years, and visited Peru, Costa Rica, Dominican Republic, etc. and my job takes me to other countries - in the last six months I have been to Barcelona, Krakow, Koln, Bern. i spent two nights here.…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 13, 2018","Responded Mar 13, 2018","Dear guest,  I`m of course a bit sad after reading this review concerning the feedback that the world has moved on, not we.  We will take all your thoughts in concideration.  Please contact me if you have the time. I would like to have more details. mattias.lindberg@grandilund.se  Sincerely Mattias Lindberg",Date of stay: March 2018,"[All, languages]",493
AnnikaAnkan,Feb 2018,4,Charmigt hotell med bra läge,Bodde här en natt på väg mot Köpenhamn på resa för att fira min 30-årsdag. Hotellet är riktigt charmigt och rummet var litet men fint. Sängen var också ganska smal för en dubbelsäng men riktigt skön.   Läget är väldigt bra och frukostbuffén var toppen. Däremot var det stressande…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 5, 2018","Responded Mar 5, 2018",Tusen tack för en trevlig recension och grattis i efterskott!  Inte bra läsning gällande frukostpersonal som stressar upp. Det tar jag givetvis vidare och undersöker.  Sedan till frostade glasdörrar in till toaletten. Jag kan hålla med om att det inte alltid är det bästa alternativet med det är en design som lyser upp och mjukar upp rummet. Vi har det givetvis inte på alla rum utan en bråkdel. Vi blandar modernt och klassikt.  Jag tar givetvis med mig tanken inför kommande badrums renoveringar.  Hjärtligt välkommen åter! Med vänlig hälsning Mattias Lindberg  ,Date of stay: February 2018,"[All, languages]",493
Patricia H,Feb 2018,5,Utmärkt service!,Jag är en återkommande gäst tack vare bra service och ett personligt bemötande som alltid möter mina förväntningar. Sedan renoveringen och utbyggnaden av hotellet så har det dessutom blivit luftigare och mer tilltalande samt lättare att slå sig ner och ha affärsmöten i…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 5, 2018","Responded Mar 5, 2018","Kära gäst,  Tusen tack för vänliga ord.  Hjärtligt välkommen åter!  Med vänlig hälsning  Mattias Lindberg",Date of stay: February 2018,"[All, languages]",493
Louise Bednarz,Feb 2018,4,Vackert hotell,Mysigt hotell med bra läge i centrala Lund. Rymligt rum i gammal stil. Mycket skön säng. Trevlig personal som gärna hjälpte till då vi behövde det. I såväl restaurang som minibar fanns det mycket ekologiskt och närodlat. Jag saknade dock veganska/vegetariska alternativ till…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Mar 5, 2018","Responded Mar 5, 2018","Kära gäst,  Tack för en trevlig recension av din vistelse.  Jag tog vidare dina tankar gällande frukosten till vår köksansvarige Martin Hansen. Jag samtycker här med honom att vårt utbud av vegetariska alternativ på frukosten är god. Givetvis kan vi göra mer när det kommer till det veganska önskemålet. Dock är efterfrågan liten och det är svårt att efterhålla den kvalité vi önskar. Ett tips är att vid bokningstillfället informera om eventuella kost-önskningar så löser vi det mesta.  Tack än en gång och hjärtligt välkommen åter.  Med vänlig hälsning Mattias Lindberg",Date of stay: February 2018,"[All, languages]",493
971ibf,Feb 2018,5,"Endnu et glimrende ophold på Grand Hotel, Lund","Jeg tilbragte en nat på hotellet i forbindelse med uddeling af en pris til en tysk kollega. Alt var som sædvanlig perfekt. Mit værelse var et enkeltværelse med udsigt til Bantorget gennem et kvistvindue. Badeværelset og sengen var meget gode, og det samme gælder morgenmanden.","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Feb 6, 2018","Responded Feb 6, 2018","Kära gäst,  Tusen tack vänliga ord och hjärtligt välkommen åter!  Med vänlig hälsning Mattias Lindberg",Date of stay: December 2017,"[All, languages]",493
Anna H,Feb 2018,2,Afternoon tea med service som fallerar,"Fantastisk miljö, helt okej te med tillbehör, men servicen ... :(  Ouppmärksam och orutinerad personal. Lång väntetid innan vi får beställa. Vi – ett sällskap på 4 – får lika mycket clotted cream/sylt/lemon curd som ett sällskap på 2. Försöker förtvivlat få ögonkontakt för att…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Feb 6, 2018","Responded Feb 6, 2018","Kära gäst,  Det var ingen rolig läsning. På allas vägnar kan vi bara be om ursäkt.  Får väldigt gärna återkoppla till mig personligen mattias.lindberg@grandilund.se  Om en önskan att få kontakt Med vänlig hälsning Mattias Lindberg ",Date of stay: February 2018,"[All, languages]",493
asaj74,Jan 2018,5,God mat och bra service,En vän rekommenderade oss att gå till Bistron. Vi gick dit för en drink fredags kväll. Efter några drinkar bestämde vi oss för att stanna och äta men fick reda på att bordet var bokat så vi skulle inte hinna äta. En annan servitör kom och frågade om vi ville ha något mer att…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jan 22, 2018","Responded Jan 22, 2018","Kära gäst,  Vad kul att rekommendationen föll bra ut. Det gläder mig verkligen.  Jag hälsar Samir så gott från er.  Tusen tack och hjärtligt välkomna åter.  Med vänlig hälsning Mattias Lindberg",Date of stay: January 2018,"[All, languages]",493
Bibbi725,Jan 2018,5,Mysigt hotel med anor,Uppgraderade vid ankomst fint rum mot Bantorget. Stort rymligt. Mycket vänlig service. Härlig frukost. Grand ligger dessutom mycket centralt tyvärr är det jättesvårt att komma fram med bil. Just nu för utbyggnad med spårvagn,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jan 17, 2018","Responded Jan 17, 2018","Kära gäst,  Tack för vänliga ord och att du tog dig att recensera oss.  Grand ligger väldigt centralt och det är på många sätt fantastiskt. Framförallt tänker jag på närheten till vår tågstation och Lunds shopping.  Att komma med bil kan efter ett besök ses som lite bökigt med tanke på att det sker en del gaturenoveringar i centrala Lund just. Ett tips vid reservationstillfället är att blinka till oss att ni anländer med bil så kan vi beskriva för dig hur du på bästa sätt tar dig till våra hotell. Vi kan även förboka en parkeringsplats på vårt systerhotell, Hotel Lundia, enbart 300 meter från Grand Hotel.   Orsaken till ombyggnationen mitt framför hotellet är att kommunen renoverar Bantorget. Det är helt klart under sommaren 2018 och kommer bli helt fantastiskt.  Än en gång tack för din recension. Den gör oss bättre. Vi kommer från nu stå ännu mer på tårna gällande reservationer där färdsättet till oss är med bil. Vi ska helt enkelt inte glömma att ställa frågan på vilket färdsätt resan är planerad på.   Med vänlig hälsning Mattias Lindberg  ",Date of stay: January 2018,"[All, languages]",493
mff_anna,Jan 2018,5,Anna Svensson,"Min vistelse på Grand Hotel var utmärkt. Gjorde en walk-in på natten efter en utekväll med en vän. Sov lite dåligt då min kompis snarkade, ringde receptionen. Då kom nattpersonalen upp med öronproppar till mig. Utmärkt service. På morgonen blev vi serverade en fantastiskt…","Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jan 11, 2018","Responded Jan 11, 2018","Kära gäst,  Tusen tack för trevlig feedback.  Vi har noterat din kompis ovana och tar upp det med personen i fråga vid en eventuell framtida övernattning. Smiley!  Än en gång. Tusen tack!  Med änlig häsning Mattias Lindberg",Date of stay: September 2017,"[All, languages]",493
Gunnel J,Jan 2018,5,Födelsedagsmiddag,God och varierad måltid med intressanta och välsmakande rätter. Endast måltid och en tre-rättersmiddag med barn och vuxna till allas belåtenhet. Trevlig och informerande personal när så önskades.Viner och annan dryck goda. Mycket god service! Inget rum bokades utan endast…,"Response from GrandHoteLund, Hotelldirektör at Grand Hotel LundResponded Jan 11, 2018","Responded Jan 11, 2018","Kära gäst,  Tusen tack för trevlig feedback.  Vänlig hälsning Mattias Lindberg",Date of stay: December 2017,"[All, languages]",493
