,a,b,c,d,e,f,cite
949,2007,146,[BOOK][B] What Makes a City? Planning for'Quality of Place': The Case of High-Speed Train Station Area Development,JJ Trip - 2007 - books.google.com,"Page 1. What makes a city? Planning for 'quality of place' The case ofhigh-speed
train station area redevelopment Page 2. The series Sustainable Urban Areas is
published by IOS Press under the imprint Delft University Press … 
",  Cited by 72 Related articles All 11 versions  ,72
1316,2010,153,[BOOK][B] The Cambridge companion to science and religion,P Harrison - 2010 - books.google.com,"Page 1. Page 2. The Cambridge Companion to Science and Religion in recent years,
the relations between science and religion have been the object of renewed attention.
developments in physics, biology and the neurosciences … 
",  Cited by 70 Related articles All 4 versions  ,70
853,2007,146,[BOOK][B] Introduction to residential layout,M Biddulph - 2007 - content.taylorfrancis.com,"… Chapter 4 there- fore provides practical design advice for how this might be achieved.
It discusses general approaches to using density when creating urban vitality, and
therefore viability for a mixture of uses within a neighbourhood … 
",  Cited by 67 Related articles All 7 versions  ,67
710,2005,81,[BOOK][B] Work/life city limits: comparative household perspectives,H Jarvis - 2005 - books.google.com,"Page 1. Dalgſave macmillan Work/Life City Limits Comparative Household
Perspectives Helen Janvis Page 2. Work/Life City Limits Page 3. Also by Helen Jarvis:
(co-author with AC Pratt & P. Cheng-Chong Wu) THE SECRET … 
",  Cited by 67 Related articles All 2 versions  Library Search (Sweden) ,67
1241,2010,156,Constructing the creative neighborhood: Hopes and limitations of creative city policies in Berlin,"D Jakob - City, Culture and Society, 2010 - Elsevier","… The creative city promises urban vitality, distinctiveness, centrality, wealth creation and above
all conditions to “ride the wave of change” for the benefit of the city (Landry, 2008: xvii). But what
kind of change, what benefits and for whose city does this approach actually produce … 
",  Cited by 67 Related articles All 2 versions  ,67
2447,2015,283,[BOOK][B] Sidewalk city: remapping public space in Ho Chi Minh City,AM Kim - 2015 - books.google.com,"… And now a new breed of gourmet street food vendors are recognized as innovators in the culinary
arts and economic development and have sometimes been incorporated into city plan- ning
(Urban Vitality Group 2008) while other times resisted (Kettles 2004) … 
",  Cited by 66 Related articles All 4 versions  Library Search ,66
1480,2011,191,[BOOK][B] Understanding the city: contemporary and future perspectives,"J Eade, C Mele - 2011 - books.google.com","Page 1. UNDERSTANDING THE CITY CONTEMPORARY IND Flllllll PERSPEUIVES
I rm w_ john Eade and (hnstopher Nele ' Blackwell I Publishmg Page 2.
UNDERSTANDING II!!! I--| l—-. I-1- I—1|- h—1 i_. 111 l“"""""""" Page 3 … 
",  Cited by 63 Related articles  ,63
1973,2013,276,[BOOK][B] The Randstad: a research and policy laboratory,"FM Dieleman, S Musterd - 2013 - books.google.com","Page 1. The Geolournal Library The Randstad: A Research and Policy Laboratory edited by Frans
M. Dieleman and Sako Musterd Springer-science Business Media E. Page 2. 20 The GeoJournal
Library Series Editor Wolf Tietze1 (1) Helmstedt, Germany Page 3 … 
",  Cited by 63 Related articles All 3 versions  ,63
1271,2010,155,[BOOK][B] The environmental performance of tall buildings,JCS Gonçalves - 2010 - books.google.com,"Page 1. '*- '~ In i'; ii 5I""5ii ire' -' »- I iii-1!;-i!.|:!I|h'li'j 1 g"" ' 'I' I- . I | ' \ - F' . 1 : .""h:;':l¢""
V. ' ' ' ' In; . 114 I' 'I' : ' i _ ; HI. ; 'I |:TL “ I 'l""':lvJI\| I 15"" . 'if .:'1::':.1.f FE EH1; | T ' {I I
3:4“. “""""nH' I Jun "" ' ' mi x'. :1»: _.¢ Page 2. -5' ~ |~ l~ ;-""""T""~-""""57 … 
",  Cited by 63 Related articles All 2 versions  ,63
701,2005,83,[BOOK][B] Ecocity. Book I.,"P Gaffron, G Huismans, F Skala, R Messerschmidt… - 2005 - real.mtak.hu","Page 1. Ecocity Book 1 A better place to live Edited by: Philine Gaffron, Gé Huismans,
Franz Skala Page 2. Sponsored by: European Commission, DG Research, under
Key Action 4: “City of Tomorrow and Cultural Heritage” of … 
",  Cited by 62 Related articles All 5 versions  View as HTML ,62
274,1998,34,Beyond 'fortress' and 'panoptic'cities—Towards a safer urban public realm,"S Tiesdell, T Oc - Environment and Planning B: Planning and …, 1998 - journals.sagepub.com","Page 1. Environment and Planning B: Planning and Design 1998, volume 25, pages
639-655 Beyond 'fortress9 and 'panoptic5 cities—towards a safer urban public realm
S Tiesdell Department of Town and Regional Planning … 
",  Cited by 61 Related articles All 5 versions Web of Science: 24  ,61
2254,2015,283,Knowledge neighbourhoods: Urban form and evolutionary economic geography,"GM Spencer - Regional Studies, 2015 - Taylor & Francis","… Jane Jacobs (JACOBS, 1961, 1969, 2000) is often credited with making explicit the connec-
tions between evolutionary economic processes and local diversity arguing that sustained
urban vitality depends on a constant churn of people and ideas … 
",  Cited by 59 Related articles All 8 versions  ,59
1751,2013,282,"[BOOK][B] Designing urban agriculture: a complete guide to the planning, design, construction, maintenance and management of edible landscapes",A Philips - 2013 - books.google.com,"Page 1. Designing Urban Agriculture 01_9781118073834-ffirs.indd i 01_9781118073834-ffirs.
indd i 3/12/13 11:12 AM 3/12/13 11:12 AM Page 2. 01_9781118073834-ffirs.indd ii
01_9781118073834-ffirs.indd ii 3/12/13 11:12 AM 3/12/13 11:12 AM Page 3 … 
",  Cited by 59 Related articles All 3 versions  ,59
608,2004,77,[BOOK][B] Good practice in managing the evening and late night economy: A literature review from an environmental perspective,M Roberts - 2004 - researchgate.net,"… College London (1994) Vital and Viable Town Centres: Meeting the Challenge, London: HMSO
16 Department of the Environment/Welsh Office (1994) Planning Out Crime Circular 5/94 London:
HMSO 17 Tiesdell, S. & Slater, AM (2003) Managing Urban Vitality: Spatial and … 
",  Cited by 58 Related articles All 6 versions  ,58
380,2000,57,[BOOK][B] Retail Impact Assessment: A guide to best practice,JR England - 2000 - books.google.com,"Page 1. Retail Impact Assessment A guide to best practice John England RIOS Issues
in Real Estate and Housing Page 2. Retail Impact Assessment A guide to best practice
John England RIOS Issues in Real Estate and Housing Page 3 … 
",  Cited by 57 Related articles All 2 versions  Other options ,57
1710,2012,234,[BOOK][B] The third city: Chicago and American urbanism,L Bennett - 2012 - books.google.com,"Page 1. Page 2. THE CITY Page 3. CHICAGO VISIONS AND REVISIONS Edited by
Carlo Rotella, Bill Savage, Carl Smith, and Robert B. Stepto Also in the series: THE
WAGON AND OTHER STORIES FROM THE CITY by Martin … 
",  Cited by 57 Related articles  ,57
1335,2011,169,[BOOK][B] Companion to urban design,"T Banerjee, A Loukaitou-Sideris - 2011 - books.google.com","Page 1. FOUT LEDGE COMPANIONS | ilm' Mr. -'t COmpanion to Urban Design Edited
by Tridib Banerjee and Anastasia Loukaitou-Siders Page 2. Companion to Urban
Design Today the practiceof urban design has forgeda … 
",  Cited by 57 Related articles All 3 versions  ,57
300,1998,34,[BOOK][B] Urbane and rustic England: cultural ties and social spheres in the provinces 1660-1780,CB Estabrook - 1998 - books.google.com,"… centuries. The notion that united regional communities, or even widespread signs
of'material conformity', were achieved in the generations following the Restoration
as a product of renewed urban vitality is worthy of reconsideration … 
",  Cited by 56 Related articles All 2 versions  Other options Library Search (Sweden) ,56
2183,2014,238,[BOOK][B] Landscapes of defence,"JR Gold, G Revill - 2014 - taylorfrancis.com","Page 1. Page 2. LANDSCAPES OF DEFENCE Page 3. This page intentionally left blank
Page 4. LANDSCAPES OF DEFENCE Edited by JOHN R. GOLD and GEORGE REVILL
LONDON AND NEW YORK Routledge Taylor & Francis Group Page 5 … 
",  Cited by 56 Related articles All 4 versions  View as HTML ,56
1464,2011,192,The Colocation Quotient: A New Measure of Spatial Association Between Categorical Subsets of Points. 协同区位商: 点集分类子集间空间关联性的新度量标准,"TF Leslie, BJ Kronenfeld - Geographical Analysis, 2011 - Wiley Online Library","Skip to Main Content … 
",  Cited by 55 Related articles All 3 versions  ,55
396,2000,57,[BOOK][B] No one was turned away: The role of public hospitals in New York City since 1900,S Opdycke - 2000 - books.google.com,"Page 1. No One Was Turned Away lºtherole of Public Hospital, Hiß in New York City Hä since
1900 - - º f º *- º º, T. | | - - linº i- -- º!!"" | | tº | - - - - gº-ºººº- * - º __- - º º | T T | i --- º º º * -- - - º N -
C | N Sandra Opdycke Page 2. No One Was Turned Away Page 3 … 
",  Cited by 54 Related articles All 3 versions  Other options ,54
404,2001,45,[BOOK][B] Big plans: The allure and folly of urban design,KL Kolson - 2001 - books.google.com,"Page 1. KENNETH KOLSON of Urban Design i Page 2. Page 3. Page 4. BIG PLANS
The Allure and Folly of I 'rhan Design KENNETH KO1.SON Hi"" Ham: The Allure and
holly of Urban Design springs from the idea that human … 
",  Cited by 53 Related articles All 2 versions  Other options ,53
452,2002,55,[HTML][HTML] Optimizing the benefits of urban road user charging,"G Hyman, L Mayhew - Transport Policy, 2002 - Elsevier","Skip to main content Skip to article … 
",  Cited by 53 Related articles All 12 versions  ,53
1304,2010,153,"[BOOK][B] Land, development and design","PM Syms, PM Syms - 2010 - Wiley Online Library","Page 1. Land, Development and Design Paul Syms Foreword by Sir Peter Hall Page
2. © 2002 by Blackwell Science Ltd, a Blackwell Publishing Company Editorial Offices:
Blackwell Science Ltd, 9600 Garsington Road, Oxford … 
",  Cited by 52 Related articles All 2 versions  ,52
918,2007,146,Colonization and the new imperialism: On the meaning of urbicide today,"S Kipfer, K Goonewardena - Theory & Event, 2007 - muse.jhu.edu","… street. In this latter argument, Berman, whose primary lived reference point is the
postwar Bronx, follows not only Baudelaire and Benjamin but also Jane Jacobs'
celebration of “urban vitality, diversity, and fullness of life”. 39 … 
",  Cited by 52 Related articles All 2 versions  ,52
546,2003,73,[BOOK][B] On the nature of cities: Toward enduring and creative human environments,KR Schneider - 2003 - books.google.com,"Page 1. On the Nature of Cities Kenneth R. Schneider The Failure of Cities Cities Riding
the Revolution American way of Citymaking Strategy for Urban Defeat Ecological and Human
Toll Implosion of Population Bomb Can We Build Better Cities … 
",  Cited by 51 Related articles All 2 versions  ,51
1482,2011,191,[BOOK][B] The built environment: a collaborative inquiry into design and planning,"WR McClure, TJ Bartuska - 2011 - books.google.com","Page 1. SECOND EDIUON nnnnn Environment :1 r"" "" ' ,1 ""R f h * [min ' Page 2. _.
3H t I n ,, “""ei'iuzﬂiamm * The Built Environment A Collaborative Inquiry into Design
and Planning Second Edition EDITED BY Wendy R. McClure … 
",  Cited by 51 Related articles All 2 versions  ,51
1515,2012,232,[BOOK][B] Urban centers and rural contexts in late antiquity,"TS Burns, JW Eadie - 2012 - books.google.com","… waned? Did progressive autocracy or Christianization reverse these traditional factors
of urban vitality? Did … leadership. That there were competing ideas, however, may
be evidence of urban vitality rather than stagnation. The … 
",  Cited by 50 Related articles All 4 versions  ,50
1758,2013,282,[BOOK][B] Bangladesh: The path to middle-income status from an urban perspective,"E Muzzini, G Aparicio - 2013 - elibrary.worldbank.org","Page 1. Bangladesh The Path to Middle-Income Status from an Urban Perspective Elisa Muzzini
and Gabriela Aparicio Bangladesh DIRECTIONS IN DEVELOPMENT Countries and Regions
Muzzini and Aparicio THE WORLD BANK Page 2. Page 3. Bangladesh Page 4. Page 5 … 
",  Cited by 50 Related articles All 10 versions  ,50
1266,2010,154,[BOOK][B] Social Innovation: What is it and why is it important to understand it better,"C Andrew, JL Klein, H Mohamoud - 2010 - researchgate.net","Page 1. Social Innovation : What is it and why is it important to understand it better Caroline
Andrew Juan-Luis Klein With the assistance of : Hindia Mohamoud Mebometa Ndongo. Our thanks
to: Njambi Kinyungu for the translation of sections from the original version in French … 
",  Cited by 49 Related articles All 5 versions  View as HTML ,49
