,a,b,c,d,e,f,cite
356,2000,58,Urban planning and the technological future of cities,"S Graham, S Marvin - Cities in the telecommunication age, the …, 2000 - books.google.com","Page 81. URBAN PLANNING AND THE TECHNOLOGICAL FUTURE OF CITIES
Stephen Graham and Simon Marvin INTRODUCTION It is now widely argued that
the increasingly pervasive applications of linked computer, media … 
",  Cited by 73 Related articles All 3 versions  ,73
358,2000,58,[PDF][PDF] Jane Jacob's critique of zoning: From Euclid to Portland and beyond,"J Wickersham - BC Envtl. Aff. L. Rev., 2000 - HeinOnline","… I. Jacobs's Design Principles for Urban Vitality and Diversity The power and pungency of Jacobs's
ideas derives from the dis- tinctive mixture of three different viewpoints that one encounters in
The Death and Life* First, Jacobs is an economic libertarian who be- lieves in the … 
",  Cited by 73 Related articles All 7 versions  ,73
281,1998,34,The impact of tourism on residential experience in Central-Eastern Europe: The development of a new legitimation crisis in the Czech Republic,"C Cooper, N Morpeth - Urban studies, 1998 - journals.sagepub.com","Page 1. Urban Studies, Vol. 35, No. 12, 2253±2275, 1998 The Impact of Tourism on
Residential Experience in Central-eastern Europe: The Development of a New Legitimation
Crisis in the Czech Republic Charlie Cooper and Nigel Morpeth … 
",  Cited by 73 Related articles All 8 versions Web of Science: 19  ,73
889,2007,146,Modalities of the new middle class: Ideology and behaviour in the journey to work from gentrified neighbourhoods in Canada,"M Danyluk, D Ley - Urban Studies, 2007 - journals.sagepub.com","… The downtown commercial district is a close 10–15 minute walk away. The street experience
is cosmopolitan, presenting post- modern urban vitality and sensuality; Thomas Hutton (2004,
p. 1976) has called Yaletown a landscape of “textured pro- duction” … 
",  Cited by 72 Related articles All 7 versions  ,72
312,1999,37,[HTML][HTML] Town centre management by co-operation: evidence from Sweden,"H Forsberg, D Medway, G Warnaby - Cities, 1999 - Elsevier","… Whilst these conclusions and recommendations apply specifically to three towns in Sweden,
there is no reason why they should not be applied to other European countries adopting the TCM
concept in response to the threats to urban vitality and viability arising from increased … 
",  Cited by 72 Related articles All 2 versions Web of Science: 32  ,72
1298,2010,154,[PDF][PDF] The state of European car-sharing,"W Loose - Project Momo Final Report D, 2010 - car-sharing.info","Page 1. more options for energy efficient mobility through Car-Sharing more options for energy
efficient mobility through Car-Sharing The State of European Car-Sharing Final Report D 2.4 Work
Package 2 June 2010 Bundesverband CarSharing e. V. Willi Loose … 
",  Cited by 71 Related articles All 9 versions  View as HTML ,71
2527,2016,330,Peak millennials: Three reinforcing cycles that amplify the rise and fall of urban concentration by millennials,"D Myers - Housing Policy Debate, 2016 - Taylor & Francis","… These included mounting traffic congestion that made suburban commutes less tolerable,
decreased crime in inner cities, greater immigration and enhanced urban vitality, growth of café
culture, new fashionable design of higher density for the middle class, and the future … 
",  Cited by 71 Related articles All 6 versions  ,71
841,2007,146,Cultivating “natural” cultural districts,"MJ Stern, SC Seifert - 2007 - repository.upenn.edu","… good city-building for the illusion of urban vitality. There is another way to use culture to rebuild
cities, not by placing a shiny veneer over crumbling decay, but by using culture to revitalize the
urban grass-roots, its neighborhoods, and their residents' civic engagement … 
",  Cited by 71 Related articles All 11 versions  View as HTML ,71
646,2005,83,"Selling city living: Urban branding campaigns, class power and the civic good","TA Gibson - International Journal of Cultural Studies, 2005 - journals.sagepub.com","… The logic goes something like this: if city leaders can find a way to project 'world-class' images
of 'urban vitality' into the international marketplace, then perhaps they can improve their chances
of convincing tourists and multinational corporations to invest in their city and not the … 
",  Cited by 70 Related articles All 3 versions  ,70
398,2001,45,"[HTML][HTML] Light rail in urban regions: what Dutch policymakers could learn from experiences in France, Germany and Japan","H Priemus, R Konings - Journal of Transport Geography, 2001 - Elsevier","… In this way light rail could bring about a physical integration between urban and urban district
public transport. In addition, it could create a synergy between high-quality transport, real estate
development and urban vitality. Previous article in issue; Next article in issue. Keywords … 
",  Cited by 68 Related articles All 6 versions  ,68
337,1999,36,"[HTML][HTML] Metropolitan governance and strategic planning: a review of experience in Manchester, Melbourne and Toronto","G Williams - Progress in Planning, 1999 - Elsevier","Skip to main content … 
",  Cited by 67 Related articles All 3 versions Web of Science: 25  ,67
568,2004,78,Contemporary urban space-making at the water's edge,"R Marshall - Waterfronts in post-industrial cities, 2004 - taylorfrancis.com","… environment. It is within these present difficulties that a space has opened up in the city
which allows expressions of hope for urban vitality. The urban water- front provides us
with this space. On the waterfront, we see glimpses of Page 2 … 
",  Cited by 65 Related articles All 2 versions  View as HTML ,65
341,2000,58,Parking restraint policy and urban vitality,"B Still, D Simmonds - Transport reviews, 2000 - Taylor & Francis","The aim of the paper is to examine whether parking restraint policies may have impacts on the economic vitality of urban centres. Literature from empirical, attitudinal and modelling studies is reviewed within a structure based around a conceptual framework of parking …",  Cited by 64 Related articles All 7 versions Web of Science: 16  ,64
883,2007,146,[PDF][PDF] A lived hermetic of people and place: Phenomenology and space syntax,"D Seamon - Proceedings, 6th International Space Syntax …, 2007 - krex.k-state.edu","Page 1. Proceedings, 6th International Space Syntax Symposium, İstanbul, 2007
A LIVED HERMETIC OF PEOPLE AND PLACE: phenomenology and space syntax
iii David Seamon Kansas State University, USA Abstract This … 
",  Cited by 64 Related articles All 7 versions  View as HTML ,64
478,2002,54,[PDF][PDF] The community economic development movement,"WH Simon - Wis. L. Rev., 2002 - HeinOnline","Page 1. THE COMMUNITY ECONOMIC DEVELOPMENT MOVEMENT* WILLIAM H. SIMON**
INTRODUCTION Within a five-minute walk of the Stony Brook subway stop in the Jamaica
Plain section of Boston, you can encounter the following … 
",  Cited by 57 Related articles All 2 versions  ,57
1016,2008,89,"Municipal colonialism in Vancouver: city planning and the conflict over Indian reserves, 1928–1950s","J Stanger-Ross - Canadian Historical Review, 2008 - utpjournals.press",,  Cited by 56 Related articles All 2 versions  ,56
1130,2009,119,"[PDF][PDF] Healthy food outside: farmers' markets, taco trucks, and sidewalk fruit vendors","A Morales, G Kettles - J. Contemp. Health L. & Pol'y, 2009 - HeinOnline","Page 1. HEALTHY FOOD OUTSIDE: FARMERS' MARKETS, TACO TRUCKS, AND
SIDEWALK FRUIT VENDORS A lfonso Morales' and Gregg Kettles2 ABSTRACT
This paper explores the many dimensions of street vending … 
",  Cited by 55 Related articles All 9 versions  ,55
2151,2014,238,"Regulating inclusion: Spatial form, social process, and the normalization of cycling practice in the USA","J Stehlin - Mobilities, 2014 - Taylor & Francis","… Advocates point to the freedom, sociability, and 'green' virtues of commuting by bike; with
walkability and bikeabil- ity, it is said, come invigorated commercial districts and a return to
the authenticity of the agora befitting a postsuburban era of urban vitality … 
",  Cited by 55 Related articles All 7 versions  ,55
1062,2009,117,Urban social movements and small places: Slow cities as sites of activism,"S Pink - City, 2009 - rsa.tandfonline.com","Page 1. CITY, VOL. 13, NO. 4, DECEMBER 2009 ISSN 1360-4813 print/ISSN 1470-3629
online/09/040451-15 © 2009 Taylor & Francis DOI: 10.1080/13604810903298557 Urban social
movements and small places Slow Cities as sites of activism Sarah Pink Taylor and Francis … 
",  Cited by 55 Related articles All 7 versions  ,55
319,1999,37,"The symbiosis of towns and textiles: urban institutions and the changing fortunes of cloth manufacturing in the Low Countries and England, 1270-1570","J Munro - Journal of Early Modern History, 1999 - brill.com","Page 1. THE SYMBIOSIS OF TOWNS AND TEXTILES: URBAN INSTITUTIONS AND THE
CHANGING FORTUNES OF CLOTH MANUFACTURING IN THE LOW COUNTRIES AND
ENGLAND, 1270-1570* JOHN MUNRO University of Toronto ABSTRACT … 
",  Cited by 52 Related articles All 9 versions  Other options ,52
